id_site;nom_site;type_site;typologie;lib_influence;id_polair;adresse;altitude;coord_x_l93;coord_y_l93;date_ouverture;date_dispo_mesures;date_fermeture;description_site;photo;nouv_typologie
108;Pilat;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;29436;Le Village  42220 COLOMBIER;800;825446;6472277;22/05/2008;22/05/2008;03/10/2011;Station de surveillance de l'ozone estival;http://carto.air-rhonealpes.fr/photos/photo_108.jpg;Rural-Fond
109;Nord stéphanois / Plaine du Forez;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;29437;11 route Chambles Maison de retraite du département 42170 SAINT-JUST-SAINT-RAMBERT;385;797322;6489543;17/07/2008;17/07/2008;27/12/2010;;http://carto.air-rhonealpes.fr/photos/photo_109.jpg;Périurbain-Fond
110;Est Stéphanois / La Talaudière;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;29439;19 rue Romain Rolland  42350 LA TALAUDIERE;520;811701;6487917;20/01/2010;20/01/2010;;Station Périurbaine;http://carto.air-rhonealpes.fr/photos/photo_110.jpg;Périurbain-Fond
111;Col de l'Oeillon;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;29440;  42520 ROISEY;1230;826431;6477979;28/03/2012;28/03/2012;28/12/2016;Site de surveillance rurale;http://carto.air-rhonealpes.fr/photos/photo_111.jpg;Rural-Fond
112;Chambéry Pasteur;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33101;square Pasteur Rue de Plaisance 73000 CHAMBERY;280;928381;6500356;02/04/1998;02/04/1998;;;http://carto.air-rhonealpes.fr/photos/photo_112.jpg;Urbain-Fond
113;Chambery le Haut;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33102;Rue du Grand Champ  73000 CHAMBERY;367;927488;6503891;04/07/1997;04/07/1997;;;http://carto.air-rhonealpes.fr/photos/photo_113.jpg;Urbain-Fond
114;Barby;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;33103;Square de la Mairie  73230 BARBY;317;932276;6501228;29/07/1997;29/07/1997;06/07/2010;;http://carto.air-rhonealpes.fr/photos/photo_114.jpg;Périurbain-Fond
115;Saint-Jean de Maurienne;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33111;Rue Charles Dullin  73300 SAINT-JEAN-DE-MAURIENNE;555;962574;6469502;07/11/1997;07/11/1997;;;http://carto.air-rhonealpes.fr/photos/photo_115.jpg;Urbain-Fond
116;St Julien Montdenis;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;33112;Rue Miguet Perron  73870 SAINT-JULIEN-MONT-DENIS;653;967603;6466888;09/11/2000;09/11/2000;27/04/2012;;http://carto.air-rhonealpes.fr/photos/photo_116.jpg;Périurbain-Trafic
117;Saint-Julien Trafic;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;33114;Echangeur de Saint-Julien Montdenis  73870 SAINT-JULIEN-MONT-DENIS;;966396;6467144;01/01/2012;01/01/2012;04/01/2019;;;Périurbain-Trafic
118;Chamonix;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33120;Rue du Lyret  74400 CHAMONIX-MONT-BLANC;1031;999803;6543231;31/10/1997;31/10/1997;;;http://carto.air-rhonealpes.fr/photos/photo_118.jpg;Urbain-Fond
119;Albertville;FIXE+ETUDE;urbaine;fond                                                                                                                                                                                                                                                           ;33121;Rue Félix Chautemps  73200 ALBERTVILLE;352;963799;6514057;09/11/1999;09/11/1999;;;http://carto.air-rhonealpes.fr/photos/photo_119.jpg;Urbain-Fond
120;La Léchère;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;33122;Lieu-dit Verney  73260 LA LECHERE;423;970818;6498881;01/01/2011;01/01/2011;;;http://carto.air-rhonealpes.fr/photos/photo_120.jpg;Périurbain-Industrielle
121;Annecy Loverchy;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33201;Rue du Travail  74000 ANNECY;448;941742;6537627;13/05/1998;13/05/1998;;;http://carto.air-rhonealpes.fr/photos/photo_121.jpg;Urbain-Fond
122;Annecy Novel;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33202;Impasse de l'Arcalod  74000 ANNECY;457;942979;6540090;07/04/1998;07/04/1998;;;http://carto.air-rhonealpes.fr/photos/photo_122.jpg;Urbain-Fond
123;Annemasse;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33211;Avenue Florissant  74100 ANNEMASSE;441;949837;6571344;07/05/1998;07/05/1998;;;http://carto.air-rhonealpes.fr/photos/photo_123.jpg;Urbain-Fond
124;Gaillard;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;33212;Rue du Pont Noir  74240 GAILLARD;426;947877;6571055;10/04/1998;10/04/1998;;;http://carto.air-rhonealpes.fr/photos/photo_124.jpg;Périurbain-Fond
125;Passy;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33220;Rue Salvatore Allende  74190 PASSY;588;987703;6542749;30/06/2006;30/06/2006;;;http://carto.air-rhonealpes.fr/photos/photo_125.jpg;Urbain-Fond
126;Chamonix Route Blanche;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;33232;En bordure de chaussée de la RD1205 Village des Bossons 74400 CHAMONIX-MONT-BLANC;1044;998028;6541420;05/12/2001;05/12/2001;;;http://carto.air-rhonealpes.fr/photos/photo_126.jpg;Périurbain-Trafic
127;Aiguille du midi;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;33233;Aiguille du Midi  74400 CHAMONIX-MONT-BLANC;3842;1001389;6538413;08/02/2008;08/02/2008;;;http://carto.air-rhonealpes.fr/photos/photo_127.jpg;Rural-Fond
128;Thonon les Bains;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33260;Ecole des Suets Avenue Jules Ferry 74200 THONON-LES-BAINS;425;967768;6591971;04/12/2003;04/12/2003;;;http://carto.air-rhonealpes.fr/photos/photo_128.jpg;Urbain-Fond
129;Bourg-en-Bresse;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33301;Rue du Docteur Duby  01000 BOURG-EN-BRESSE;223;871493;6570463;09/08/2003;09/08/2003;11/03/2009;;http://carto.air-rhonealpes.fr/photos/photo_129.jpg;Urbain-Fond
130;Saint-Germain-sur-Rhône;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;33302;"Lieu-dit ""Sous les Ages""  74910 SAINT-GERMAIN-SUR-RHONE";494;917981;6556404;31/10/2002;31/10/2002;;;http://carto.air-rhonealpes.fr/photos/photo_130.jpg;Rural-Fond
131;Ferney-Voltaire;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33303;;417;939708;6577607;08/08/2003;08/08/2003;04/01/2018;;http://carto.air-rhonealpes.fr/photos/photo_131.jpg;Urbain-Fond
132;Bourg en Bresse;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;33305;Rue des Blanchisseries 01000 BOURG-EN-BRESSE;224;871636;6570409;24/02/2009;24/02/2009;;;http://carto.air-rhonealpes.fr/photos/photo_132.jpg;Urbain-Fond
